ghost_content/public/admin-auth/index.html	keep	rule:fallback
jscpd-report/html/index.html	keep	rule:fallback
playwright-report/index.html	keep	rule:fallback
minimal_blog_ui_mockup.html	keep	rule:fallback
data/harvest/face-clusters.html	keep	rule:fallback
data/pods/jeff/stories/grandma-bridwell-interview-1986.md	keep	rule:fallback
directing/products/cards/PRODUCT_TEMPLATE.md	keep	rule:fallback
directing/clearing/public/index.html	keep	rule:fallback
platform/seeds/PRODUCT_TEMPLATE.md	keep	rule:fallback
platform/scripts/ops-agent-prompt.md	keep	rule:fallback
platform/api/public/doc-inventory.html	keep	rule:fallback
platform/api/public/index.html	keep	rule:fallback
platform/api/public/chorus-instance-explorer.html	move-to:designing/docs	rule:authored-canonical
platform/api/public/chorus-data-model.html	move-to:designing/docs	rule:authored-canonical
platform/api/public/frustration.html	keep	rule:fallback
platform/api/public/chorus-er-diagram.html	move-to:designing/docs	rule:authored-canonical
platform/api/public/borg/index.html	keep	rule:fallback
platform/api/public/borg/patterns/index.html	keep	rule:fallback
platform/api/public/borg/quality/index.html	keep	rule:fallback
platform/api/public/borg/instance-explorer/index.html	keep	rule:fallback
platform/api/public/borg/cost/index.html	keep	rule:fallback
platform/api/public/borg/assessment/index.html	keep	rule:fallback
platform/api/public/borg/hooks/index.html	keep	rule:fallback
platform/api/public/borg/jeff/index.html	keep	rule:fallback
platform/api/public/borg/fitness/index.html	keep	rule:fallback
platform/api/public/borg/replay/index.html	keep	rule:fallback
platform/api/public/book/index.html	keep	rule:fallback
platform/api/public/book/v2.html	keep	rule:fallback
platform/api/public/book/principles-reconstructed.html	keep	rule:fallback
platform/api/public/loom/principles.html	keep	rule:fallback
platform/api/public/loom/policies.html	keep	rule:fallback
platform/api/scripts/README-scaffold.md	keep	rule:fallback
platform/api/src/handlers/DOMAIN_IDENTITY.md	keep	rule:fallback
platform/activity.md	keep	rule:fallback
platform/services/chorus-hooks/BUILD.md	keep	rule:fallback
platform/services/chorus-inject/BUILD.md	keep	rule:fallback
roles/wren/jeff-word-cloud.html	keep	rule:fallback
roles/wren/chorus-overview.md	move-to:designing/docs	rule:authored-canonical
roles/wren/self-memories.md	keep	rule:fallback
roles/wren/designs/relationship-depth.md	keep	rule:fallback
roles/wren/data-classification-policy.md	keep	rule:fallback
roles/wren/practice-authoring-guidance.md	keep	rule:fallback
roles/wren/heidegger-gathering-research.md	keep	rule:fallback
roles/wren/context-service-brief.md	move-to:designing/docs	rule:authored-canonical
roles/wren/reconciliation-flow.html	keep	rule:fallback
roles/wren/self-stories.md	keep	rule:fallback
roles/wren/ai-foundations.html	keep	rule:fallback
roles/wren/chorus-scope-diagram.html	move-to:designing/docs	rule:authored-canonical
roles/wren/v1-boundary.html	keep	rule:fallback
roles/wren/personas/jeff-owner-operator.md	keep	rule:fallback
roles/wren/personas/wren-pm.md	keep	rule:fallback
roles/wren/jeff-voice-analytics.html	keep	rule:fallback
roles/wren/chunks/memory.md	keep	rule:fallback
roles/wren/harvest-designs/notes.md	keep	rule:fallback
roles/wren/cockpit-brief.md	move-to:designing/docs	rule:authored-canonical
roles/wren/book-outline.md	move-to:designing/docs	rule:authored-canonical
roles/wren/log-coherence-audit.html	keep	rule:fallback
roles/wren/self-domain-ontology-sketch.html	keep	rule:fallback
roles/wren/memory-architecture.html	keep	rule:fallback
roles/wren/ux-walkthrough-2026-02-18.md	keep	rule:fallback
roles/wren/chorus-consolidation-proposal.md	move-to:designing/docs	rule:authored-canonical
roles/wren/access-control-permutation-matrix.md	keep	rule:fallback
roles/wren/capture-routing-refinement.md	keep	rule:fallback
roles/wren/cockpit-v0.md	move-to:designing/docs	rule:authored-canonical
roles/wren/security-trust-model.md	keep	rule:fallback
roles/wren/templates/harvest-design-doc.md	keep	rule:fallback
roles/wren/cockpit-mockup.html	move-to:designing/docs	rule:authored-canonical
roles/wren/self-relationships-sketch.md	keep	rule:fallback
roles/wren/jeff-practice-spine.md	keep	rule:fallback
roles/wren/value-stream-and-domains.md	keep	rule:fallback
roles/wren/jeff-constitution.html	keep	rule:fallback
roles/wren/proposals/v1-acceptance-criteria.md	keep	rule:fallback
roles/wren/proposals/concept-enrichment-ontology.md	keep	rule:fallback
roles/wren/chorus-product-decomposition.md	move-to:designing/docs	rule:authored-canonical
roles/wren/v1-boundary.md	keep	rule:fallback
roles/wren/chorus-method-map.md	move-to:designing/docs	rule:authored-canonical
roles/silas/chorus-clearing-architecture.md	move-to:designing/docs	rule:authored-canonical
roles/silas/fitness-test-template.md	keep	rule:fallback
roles/silas/guardrails-and-feedback-loops.md	keep	rule:fallback
roles/silas/infrastructure-constraints.md	keep	rule:fallback
roles/silas/plans/2328-repo-cleanup-plan.md	keep	rule:fallback
roles/silas/system-architecture.md	keep	rule:fallback
roles/silas/end-of-day-review.md	keep	rule:fallback
roles/silas/chorus-nervous-system.html	move-to:designing/docs	rule:authored-canonical
roles/silas/glossary.md	keep	rule:fallback
roles/silas/operations-assessment.md	keep	rule:fallback
roles/silas/boundary-contract.md	keep	rule:fallback
roles/silas/bedroom-audit-2026-03-21.md	keep	rule:fallback
roles/silas/network-inventory.md	keep	rule:fallback
roles/silas/personas/silas-architect.md	keep	rule:fallback
roles/silas/ontology-status.md	keep	rule:fallback
roles/silas/canonical-namespaces.md	move-to:designing/docs	rule:authored-canonical
roles/silas/chorus-structural-audit.html	move-to:designing/docs	rule:authored-canonical
roles/silas/scratch-pair-2300.md	keep	rule:fallback
roles/silas/conceptual-model.md	keep	rule:fallback
roles/silas/domain-registry.md	keep	rule:fallback
roles/silas/spine-emitter-inventory.md	keep	rule:fallback
roles/silas/chorus/gate-registry.md	keep	rule:fallback
roles/silas/chorus/chorus-activity-dashboard-summary.md	move-to:designing/docs	rule:authored-canonical
roles/silas/chorus/communication-flows.md	keep	rule:fallback
roles/silas/logging-strategy.html	keep	rule:fallback
roles/silas/fuseki-graph-consolidation-map.md	keep	rule:fallback
roles/silas/sparql-scoping-audit.md	keep	rule:fallback
roles/silas/capability-map.md	keep	rule:fallback
roles/silas/content-ingestion-matrix.md	keep	rule:fallback
roles/silas/spine-architecture.md	keep	rule:fallback
roles/silas/building-value-stream.md	keep	rule:fallback
roles/kade/artifacts/2435-callsite-audit.md	keep	rule:role-artifact-already-scanned
roles/kade/artifacts/kade-role.html	keep	rule:role-artifact-already-scanned
roles/kade/artifacts/2435-0.3-drained-consumer-audit.md	keep	rule:role-artifact-already-scanned
roles/kade/quality-guide.md	keep	rule:fallback
roles/kade/current-work.md	keep	rule:fallback
roles/kade/mockup-player.html	keep	rule:fallback
roles/kade/acl-audit-results.md	keep	rule:fallback
roles/kade/policies/test-value-draft.md	keep	rule:fallback
roles/kade/harvest-pipeline.html	keep	rule:fallback
roles/kade/personas/kade-engineer.md	keep	rule:fallback
ceremony-roi.md	keep	rule:fallback
activity.md	keep	rule:fallback
building/products/convergence/PIPELINE_MANIFEST.md	keep	rule:fallback
building/skill/SKILL.md	keep	rule:fallback
building/nudges/nudges.md	keep	rule:fallback
